TopNow,RankType,DownloadNum,From,RunningType,ChannelID,GameType,Summary,DownloadURL,PlatForm,VersionID,Score,HotTrend,WebURL,WeekDownload,CompanyName,GetTime,GameName,Hot,PackageSize,iConURL
11,9,4690334,1,δ֪,4,赛车体育,3000万玩家的选择！深圳卫视官方唯一授权，年度最火爆综艺《极速前进》正版授权的游戏，你怎能错过！玩家可以扮演陈小春、钟汉良等16位明星嘉宾，还有炫酷座驾布加迪EB•LA等你来拿！创造公路神话，一起极速前进吧！,http://i1.market.mi-img.com/download/AppStore/0354a48c5c01fd6ee7687e8edc643b771104318e5/com.gameley.tar.nl.mm.mi.apk,1,1.00.08,3,δ֪,δ֪,δ֪,天津百度紫桐科技有限公司,2015-01-05 20:00,3D狂野飞车-极速前进,0,9.68M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/71bccb5f-28b5-4096-8f35-089633d699f4
12,9,7829269,1,δ֪,4,赛车体育,"名震亚洲的超人气综艺节目《奔跑吧兄弟》全国热播，官方授权同名手机游戏《奔跑吧兄弟：我是车神》正式首发！发动机在轰鸣，我们在等你，跑起来，你能赢！
兄弟，是时候该玩玩全新的3D赛车游戏了！
在这里速度、挑战、欢笑、惊喜、激情不断，这就是结合超人气综艺节目的全新模式赛车游戏！
知名嘉宾养成，组队PK竞速，数十款超级跑车、丰厚的奖励和恶搞的惩罚，真正的速度与激情，我们相信这就是是你想要的！兄弟，跑起来！",http://i5.market.mi-img.com/download/AppStore/0ee1352dc4fbb3ef7cd7a8ea7e8650bcbdd417d8f/com.coco.entertainment.immortalracer.mi.apk,1,2.2.0,4,δ֪,δ֪,δ֪,北京触控科技有限公司,2015-01-05 20:00,奔跑吧兄弟-我是车神,0,30.32M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/60fcc1f3-542d-4542-8c1c-bcd90528b72a
13,9,8347926,1,δ֪,4,网游RPG,"MOBA+RPG？革命性动作手游！

告别单调的闯关刷图，打造你的西游英雄战阵，在磨难重重的西游路上磨练你的战斗技巧吧！
融合MOBA+RPG的全新对抗玩法，在战场上与对手血战到底！灵活补刀、游走杀人，释放你的超神操作，热血激斗尽在掌中！
更有局域网实时同步对战，好友约战，一决高下！
2014年网易动作手游王牌力作，给你革命性的动作手游PVP新体验!

痛快手感：精准操控，酣畅打击
网易自研NeoX引擎打造，动作特效逐帧优化，50.5度完美视角，只为超凡动作体验。

技高一筹：颠覆数值，以技取胜
走位、卡点、放大招，用操作点燃你的战斗激情，告别枯燥的数值比拼，用实力说话。

至强战阵：西游英雄，随心组合
告别单一角色限制，海量西游英雄收集培养，战斗阵容随心组合，打造你的至强战阵。

战无止境：百变关卡，诡异莫测
再探西天取经之秘，闯荡九九八十一劫，披荆斩棘，弑妖屠魔，成就你的战神之路。

热血竞技：推塔战场，全局掌控
创新掌上MOBA竞技场，灵活补刀、游走杀人、高位强控、下路偷塔，热血推塔尽在掌中。

实时对决：约战伙伴，一决高下
突破技术瓶颈，在局域网内给你真正的实时同步对战！好友约战，无谓输赢，但求一战。

小米官方玩家交流1群：102199326 （已满）
                                2群： 210572527",http://i1.market.mi-img.com/download/AppStore/02765f5d272c04acb09f3949987fb285e8cb65622/com.netease.ldxy.mi.apk,1,1.0.11,4,δ֪,δ֪,δ֪,杭州网易雷火科技有限公司,2015-01-05 20:00,乱斗西游,0,157.38M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/022137ca-dc06-4b74-98d4-de8ecedc2936
14,9,560421,1,δ֪,4,跑酷闯关,"更新简介：
***********庆元旦！贺新年！奥特曼送大礼！************
活动期间，下载并进入游戏的小伙伴即可获得一份新年大礼包！
金币，道具免费领取！2015年度最好玩的酷跑游戏快来下载啦！
奥特曼陪你打怪兽！救妹子！过新年！

奔跑吧！奥特曼！角色培养+横版动作革命性的天天酷跑类游戏强势登陆各大平台！宇宙正在遭遇最大危机，银河公主亟待救援，独创的BOSS系统让你体验用“奥特光线”横扫小怪兽的快感！立即加入，与成千上万的玩家一起扮演宇宙超人奥特曼救回公主，角逐出最强酷跑超人！ ",http://i5.market.mi-img.com/download/AppStore/04da05571e35e43ad3f536b9fcdc822b9d00feca6/com.sg.atmpk.xiaomi.apk,1,1.1.2,4.5,δ֪,δ֪,δ֪,南京颂歌网络科技有限公司,2015-01-05 20:00,酷跑超人-奥特曼,0,18.54M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/06da05d71530ed3a06f532b9faec822c92e43ac25
15,9,6938168,1,δ֪,4,动作枪战,"《全民枪战》是全球首款FPS竞技手机游戏，最刺激的竞技游戏，最公平的游戏环境，最完美的操作手感，最高端的次世代游戏显示技术，在游戏内你可以自由跳跃射击，体验最真实的极致3D游戏世界！
《全民枪战》数十种游戏地图和游戏模式任你选择，爆破、歼灭、团战、单挑、夺旗、抢物等特色玩法，成就掌上枪王不是梦，随时随地开战，体验移动战场美妙感觉！
在《全民枪战》游戏内，上万性格迥异，能力超强的对手等你来战，强化、养成、升级技能等等多种玩法不会让你寂寞。冒险、闯关、对战，和战队朋友一起经历枪林弹雨。把超强的反动派一枪爆头，玩法多多您说了算，只为招募到最强伙伴！
《全民枪战》游戏支持低端机型，只要你是触屏手机，就可展开激情战役。游戏支持WIFI和3G两种网络环境，即使出门在外也可以随时随时进入游戏。更有单机剧情模式，高速快捷的战斗，任何时候想玩都可以。公平合理的积分设计，玩家即使在无网络的环境下，也可以和机器人酣战一番，还会获得相应积分，领取游戏奖励哦！",http://i5.market.mi-img.com/download/AppStore/8bc3b726-dc83-40f9-980b-898b3ac7102c/com.crisisfire.android.mi.apk,1,1.6,4,δ֪,δ֪,δ֪,成都卓星科技有限公司,2015-01-05 20:00,全民枪战,0,93.1M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/e27a08da-f065-46a5-a316-1b2f13c3cdf3
16,9,6684209,1,δ֪,4,跑酷闯关,"★★★圣诞狂欢夜 任性抢米4★★★

【活动时间】

2014年12月23日0点-2014年12月28日23点59分

【幸运抽奖--奖品设置】

一等奖：小米4（1名）      价值:2299元

二等奖：小米平板（16G）（1名）  价值：1299元

三等奖：200元移动话费充值卡（3名） 

四等奖：价值199元电光雷霆剑（5名）

五等奖：价值39元铠甲勇士模型玩具（10名）

奖品总价：5598元

【获奖规则】

1.   参加活动前请先在“小米应用市场“&”小米游戏中心“下载安装《铠甲勇士之英雄传说》最新版本；

2.   点击“最新活动”，进入活动页面，点击抽奖进入抽奖页面；

3.   首次登陆即可免费获得一次抽奖机会；

4.   黄金VIP每天可额外获得1次抽奖机会，

白金VIP每天可额外获得2次抽奖机会，

钻石VIP每天可额外获得4次抽奖机会；

5.     自12月25日起，3日内整理发布获奖名单，自28日起5日内，请获奖玩家进入“活动中心“--“我的奖品”领取奖品；并正确填写个人收货信息，以便您能及时收到奖励，5日内未填写个人信息，则视为主动放弃奖励，如因玩家手机欠费停机、联系号码无效或其他原因逾期不能领取奖品，活动组织方对此不承担责任，敬请谅解；。

6.     若发现玩家使用作弊手段获奖，我方有权取消其获奖资格。
---------------------------------------------
★★★精灵萌宠炫酷来袭★★★
漩海蛸，熔焰麟，飓苍鸢，绝峭蝎，雷影貅，五大铠甲勇士专属精灵闪亮登场，火力全开释放无尽战力！带你闯关带你飞！全新专属精灵升级后造型更炫酷，战力更强劲，助你焚烧邪念，惩罚暴乱，捍卫和平！
一场与欧克瑟兽人的大战一触即发！快来加入战斗吧！实现你的英雄梦！    
★★★护送队友，大战BOSS，拼勇气，秀微操
畅快砍杀、激情战斗、护送队友，大战BOSS，80个任务关卡众多玩法等着你！拼勇气，秀微操，武器华丽升级，让你拥有快意十足的极致战斗体验。涡轮漩魈煞 、焰炬熔麟煞、劈风苍鸢煞、断恶绝蝎煞、电光雷霆剑、极光剑等铠甲专属武器造型炫酷，升级后更拥有超强技能！致命大招随心释放，强悍boss一招秒杀！
★★★高清3D场景，画面党福音★★★
欧克瑟森林，病毒实验室，宇宙外太空等众多影视级科幻场景，让你体验极致的视觉盛宴！真人配音、华丽音效伴随人物技能攻击，带来前所未有的视听享受！赶紧下载游戏一起来共享英雄梦，召唤铠甲勇士战斗吧！ ",http://i1.market.mi-img.com/download/AppStore/0afb54e03d4ff7b134269bc5bac432ff24c42fe03/com.joym.armorhero.mi.apk,1,1.0.4,3.5,δ֪,δ֪,δ֪,合肥乐堂动漫信息技术有限公司,2015-01-05 20:00,铠甲勇士-送小米4,0,41.88M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/158c5716-9610-4335-bcee-7aae7fc8acb7
17,9,26348102,1,δ֪,4,休闲创意,水果忍者村迎来圣诞节了，2.0.1版本，圣诞村的广场上树立起了庞大的圣诞树，师傅、一郎、麻里、胖苏、嘟嘟都换上了圣诞新装。村里飘起了雪花。师傅拿出了新的武器，圣诞礼花刀，它能在天空中划出美丽的火花，并且能帮助你切水果。胖苏给玩家们带来了新的背景，一张美丽的圣诞卡背景，上面是槲寄生、彩球和松枝装扮的边缘在大雪弥漫的天空中美丽极了。一郎和麻里带来了来自远方贺卡，这些贺卡藏着众多的礼物。快点，换上新装和他们一起度过一个愉快的圣诞节吧。,http://i1.market.mi-img.com/download/AppStore/0a002418b96009811fa41b8e4328cf06b2341d977/com.halfbrick.fruitninja.apk,1,2.0.1,2.5,δ֪,δ֪,δ֪,乐逗游戏,2015-01-05 20:00,水果忍者,0,39.5M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/0b64d7578f930471c36f3db45250eef81dc11160c
18,9,17422305,1,δ֪,4,棋牌桌游,"天天斗地主，天天都快乐！作为国内顶级棋牌厂商联众游戏2014年的手游扛鼎力作，《单机斗地主》闯关版强势来袭！新增诸多原创功能使得《单机斗地主》闯关版成为手机上最好玩、最与众不同的斗地主游戏！


◆独家特色◆


★ 超值实惠的抽奖赠送
登陆单机银币奖励、赢话费赛事活动，更有每天万元充值卡&钻石抽奖等你挑战；

★ 丰富刺激的挑战关卡
增加了游戏的挑战性，通关的满足感成倍提升，让人越发欲罢不能；

★ 全新绘制的美术风格
清新大气的高清画面可谓颠覆从前，媲美PC，给予你美妙的视觉享受；

★ 新鲜特色的场景闯关
每个场景都能带来全新的体验与无穷的乐趣，且通关更有多多奖励；

★ 更多丰富的特殊道具
游戏内容和玩法更加丰富，层出不穷的新鲜感让乐趣持久更耐玩；

★ 便捷多样的登录方式
支持游客、联众、人人、百度等多种账号登陆，方便新手快速进入体验游戏；

★ 智能升级的单机AI
毫不逊色真人PK，不联网也能得到极富挑战性的单机游戏体验！


官方网址：http://m.lianzhong.com
客服Q 群: 259261500
新浪微博: @联众移动游戏
腾讯微博：@联众移动游戏
官方微信：联众互动游戏
百度贴吧：联众移动游戏吧
欢迎您提出宝贵建议和意见！您留下的每个字都将被用来改善我们的产品。",http://file.market.xiaomi.com/download/AppStore/461bf9cd-e0c2-4c78-b875-ba1bc522bd94/com.og.danjiddz.apk,1,6.0.4.1,3.5,δ֪,δ֪,δ֪,北京联众电脑技术有限责任公司,2015-01-05 20:00,单机斗地主-联众,0,24.31M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/ccd125e3-491b-4d2a-88d6-2e05aa19727b
19,9,1063263,1,δ֪,4,网游RPG,"【游戏简介】
将冒险直逼巅峰！网易第一RPG《天下HD》全面刷新手游动作感官！
四大经典职业组合，263种关卡历练，当鬼魅射手遭遇骷髅军团，当仙侠剑客独战远古巨妖，生死难分！
为强化战斗自由度，首推单手触屏操控，冲刺、翻滚、斩杀、QTE炫酷大招迭起，战斗快感爆棚！搭配独家元魂系统，收服异兽，震慑群魔，打造专属战队！更有势力社交、竞技比武、野外BOSS等多样玩法刺激不停！
把这想象之外的奇幻历险化为现实，2014，今冬最强战斗盛宴，来战！
【游戏亮点】
●清新糖果味画风，Q萌小短腿造型
●疾速动作体验，冲刺翻滚斩杀，激爽爆棚
●单手触屏操控，血虐BOSS，连杀快感
●超50系神兽助战，围击阻攻多样配合
●多类型互动关卡，高AI BOSS挑战，生死决杀
●大富翁、海盗船、抢答题，休闲竞技丰富有趣
●势力联谊、以武论道、好友助战，创新移动社区",http://i3.market.mi-img.com/download/AppStore/08cee427ec66959578476b19b7e2d83d4ef43d04c/com.netease.TXHD.mi.apk,1,1.0.1,3.5,δ֪,δ֪,δ֪,杭州网易雷火科技有限公司,2015-01-05 20:00,天下HD,0,149.03M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/0f50575d1dfef48cf18bb01d7d6a23f6436a31f38
20,9,2993379,1,δ֪,4,棋牌桌游,"《真人斗地主》是目前国内人气超旺，流量超省，速度超快的手机休闲网游，下载注册永久免费，升级还有丰富奖品赠送！
1）流量超省！一局游戏流量抵不上访问1个WAP页面的流量！
2）速度超快！给您超爽的感觉，性能堪比3G！
3）大陆港澳台两岸四地数百万玩家，上万人同时在线！
4）斗地主各种最风行玩法一网打尽！
5）界面操作上手容易，独有速配开局模式让您迅速进入游戏！

客服电话：400-680-1212",http://i5.market.mi-img.com/download/AppStore/062dc547c45835980f732af2a79e6d6d6d843fd78/com.mas.wawagame.jjlordXM.apk,1,3.4.37,5,δ֪,δ֪,δ֪,深圳市金环天朗信息技术服务有限公司,2015-01-05 20:00,真人斗地主,0,6.16M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/e67d0dd2-ae66-41eb-b4f3-52210667c3f8
1,10,3228894,1,δ֪,4,网游RPG,"《全民奇迹》是一款以《奇迹MU》为蓝本的动作手游，游戏以Unity3D引擎打造，结合细微粒子特效，全息三维空间和真人动作捕捉技术，为玩家打造出一个旷世宏伟而流光绚丽的奇幻世界。华丽的技能特效，畅快的操作体验，把玩家带回到十年前那个奇迹的年代。

官方客服QQ：400 993 3199
小米玩家交流群： 372739179 。",http://i3.market.mi-img.com/download/AppStore/0f7f9e4e2dd584e8a225dde0c21168bddd477a9a4/com.qmqj.tianmashikong.mi.apk,1,1.1.0,3.5,δ֪,δ֪,δ֪,上海悦腾网络科技有限公司,2015-01-05 20:00,全民奇迹-十年经典,0,234.36M,http://file.market.xiaomi.com/thumbnail/jpeg/l120/AppStore/0dd1b652ee178445210c95093ceb434a15b2b8983
